sample_id,condition,CDDP_concentration,CDDP_time,batch
S.CON.1,CON_6H,0,6,A
S.CON.2,CON_6H,0,6,B
S.CON.3,CON_6H,0,6,C
S.CDDP25.1,CDDP25_6H,25,6,A
S.CDDP25.2,CDDP25_6H,25,6,B
S.CDDP25.3,CDDP25_6H,25,6,C
S.CDDP50.1,CDDP50_6H,50,6,A
S.CDDP50.2,CDDP50_6H,50,6,B
S.CDDP50.3,CDDP50_6H,50,6,C
S.CDDP100.1,CDDP100_6H,100,6,A
S.CDDP100.2,CDDP100_6H,100,6,B
S.CDDP100.3,CDDP100_6H,100,6,C
L.CON.1,CON_20H,0,20,D
L.CON.2,CON_20H,0,20,E
L.CON.3,CON_20H,0,20,F
L.CDDP25.1,CDDP25_20H,25,20,D
L.CDDP25.2,CDDP25_20H,25,20,E
L.CDDP25.3,CDDP25_20H,25,20,F
L.CDDP50.1,CDDP50_20H,50,20,D
L.CDDP50.2,CDDP50_20H,50,20,E
L.CDDP50.3,CDDP50_20H,50,20,F
